State,primary_expression,constant,string,postfix_expression,argument_expression_list,unary_expression,unary_operator,cast_expression,multiplicative_expression,additive_expression,shift_expression,relational_expression,equality_expression,and_expression,exclusive_or_expression,inclusive_or_expression,logical_and_expression,logical_or_expression,conditional_expression,assignment_expression,assignment_operator,expression,constant_expression,declaration,declaration_specifiers,init_declarator_list,init_declarator,storage_class_specifier,type_specifier,struct_specifier,struct_declaration_list,struct_declaration,specifier_qualifier_list,struct_declarator_list,struct_declarator,declarator,direct_declarator,pointer,parameter_type_list,parameter_list,parameter_declaration,identifier_list,type_name,abstract_declarator,direct_abstract_declarator,initializer,initializer_list,designation,designator_list,designator,statement,compound_statement,block_item_list,block_item,expression_statement,matched_statement,unmatched_statement,iteration_statement,unmatched_iteration_statement,jump_statement,translation_unit,external_declaration,function_definition,declaration_list
0,,,,,,,,,,,,,,,,,,,,,,,,17,18,,,19,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,23,24,
18,,,,,,,,,,,,,,,,,,,,,,,,,,30,31,,,,,,,,,32,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,46,47,,,19,20,21,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,49
44,89,90,91,92,,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,,108,,109,47,,,19,20,21,,,,,,,,,,,,,,,,,,,,,110,111,112,113,114,115,116,117,118,119,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,89,90,91,92,,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
